llm,language,question,obs_pc1,obs_pc2,loio_pc1,loio_pc2,displacement
deepseek-v4-flash,en,A008,1.5415195685875012,1.3243355417684464,1.6283610823364567,1.2333650364801707,0.12576597847833978
deepseek-v4-flash,en,A165,1.5415195685875012,1.3243355417684464,1.8161223809705018,1.2987782005476187,0.27578956154816897
deepseek-v4-flash,en,E018,1.5415195685875012,1.3243355417684464,1.5431863571733295,1.4066472394080194,0.08232857190853209
deepseek-v4-flash,en,E025,1.5415195685875012,1.3243355417684464,1.0063812824499512,1.206548727628529,0.547947733707756
deepseek-v4-flash,en,F063,1.5415195685875012,1.3243355417684464,1.4620178105378034,1.1922309885741145,0.15418217311890095
deepseek-v4-flash,en,F118,1.5415195685875012,1.3243355417684464,0.7725086966384139,1.0031737681035786,0.8333802289708218
deepseek-v4-flash,en,F120,1.5415195685875012,1.3243355417684464,1.3813317767990156,1.200283421425745,0.20260566921878387
deepseek-v4-flash,en,G006,1.5415195685875012,1.3243355417684464,1.646191838037041,1.0117677099451328,0.32962847796033085
deepseek-v4-flash,en,Y002,1.5415195685875012,1.3243355417684464,1.6948904252343935,1.3236277622816572,0.15337248977702458
deepseek-v4-flash,en,Y003,1.5415195685875012,1.3243355417684464,1.3026844671106024,1.0325970215214515,0.3770325846573301
deepseek-v4-flash:0731,en,A008,2.42177224584806,0.7557091943728838,2.344613806865151,0.8365362306428992,0.11174271563942624
deepseek-v4-flash:0731,en,A165,2.42177224584806,0.7557091943728838,2.4165329889927385,0.7561968131049466,0.005261899317156436
deepseek-v4-flash:0731,en,E018,2.42177224584806,0.7557091943728838,2.424281721437851,0.8796356465558144,0.12395185766411067
deepseek-v4-flash:0731,en,E025,2.42177224584806,0.7557091943728838,1.8866339597105104,0.6379223802329664,0.5479477337077554
deepseek-v4-flash:0731,en,F063,2.42177224584806,0.7557091943728838,2.3927731778441506,0.7075227263539785,0.05623950253364924
deepseek-v4-flash:0731,en,F118,2.42177224584806,0.7557091943728838,1.4922520992565498,0.36751398176173933,1.0073247867563442
deepseek-v4-flash:0731,en,F120,2.42177224584806,0.7557091943728838,2.22141660981042,0.6005504198147196,0.25340999627962285
deepseek-v4-flash:0731,en,G006,2.42177224584806,0.7557091943728838,2.406687730935567,0.8007539244155177,0.04750337140413294
deepseek-v4-flash:0731,en,Y002,2.42177224584806,0.7557091943728838,2.4200494780113107,0.755717144642981,0.0017227861811996475
deepseek-v4-flash:0731,en,Y003,2.42177224584806,0.7557091943728838,2.170708639768291,0.4490334818303925,0.3963368856934995
deepseek-v4-pro,en,A008,1.2882791434991132,2.0113413906982034,1.3751206572480688,1.9203708854099275,0.12576597847833995
deepseek-v4-pro,en,A165,1.2882791434991132,2.0113413906982034,1.5628819558821134,1.9857840494773757,0.2757895615481685
deepseek-v4-pro,en,E018,1.2882791434991132,2.0113413906982034,1.282572420800273,1.7295239860833969,0.2818751784527808
deepseek-v4-pro,en,E025,1.2882791434991132,2.0113413906982034,0.9449719603586727,1.9357776337760013,0.35152482608774815
deepseek-v4-pro,en,F063,1.2882791434991132,2.0113413906982034,1.1495673350509052,1.780850116953371,0.26901151104643756
deepseek-v4-pro,en,F118,1.2882791434991132,2.0113413906982034,0.5321090135214201,1.6955422921490377,0.8194646643479796
deepseek-v4-pro,en,F120,1.2882791434991132,2.0113413906982034,1.1223530882464625,1.882845462610436,0.20986343022747522
deepseek-v4-pro,en,G006,1.2882791434991132,2.0113413906982034,1.4707933227839747,1.4663253936620237,0.5747641800472325
deepseek-v4-pro,en,Y002,1.2882791434991132,2.0113413906982034,1.5132316729846096,2.0103032744005445,0.22495492483466678
deepseek-v4-pro,en,Y003,1.2882791434991132,2.0113413906982034,1.0209108646155178,1.6847494217617163,0.42207595374172574
gemma4:31b,en,A008,2.1629479600887374,2.076016862027181,2.249789473837693,1.985046356738905,0.12576597847833995
gemma4:31b,en,A165,2.1629479600887374,2.076016862027181,2.437550772471738,2.0504595208063536,0.2757895615481689
gemma4:31b,en,E018,2.1629479600887374,2.076016862027181,2.1580839243938597,1.8358142119557317,0.24025189269720248
gemma4:31b,en,E025,2.1629479600887374,2.076016862027181,1.819640776948297,2.0004531051049788,0.35152482608774804
gemma4:31b,en,F063,2.1629479600887374,2.076016862027181,1.9719919895241973,1.7587137760319074,0.3703315151001456
gemma4:31b,en,F118,2.1629479600887374,2.076016862027181,1.1852750311044997,1.667711617732153,1.0595081540920015
gemma4:31b,en,F120,2.1629479600887374,2.076016862027181,1.997021904836087,1.9475209339394128,0.20986343022747528
gemma4:31b,en,G006,2.1629479600887374,2.076016862027181,2.271612122350346,1.7515286114750022,0.34219953960581345
gemma4:31b,en,Y002,2.1629479600887374,2.076016862027181,1.9822710101554795,2.0768506543244545,0.1806788738253036
gemma4:31b,en,Y003,2.1629479600887374,2.076016862027181,1.7732946351764411,1.6000529701357278,0.6151189641034215
glm-5.1,en,A008,1.7153130222784143,1.7599601191933716,1.8021545360273699,1.6689896139050953,0.12576597847834026
glm-5.1,en,A165,1.7153130222784143,1.7599601191933716,1.9699271154301057,1.7362631322548927,0.25571445720064523
glm-5.1,en,E018,1.7153130222784143,1.7599601191933716,1.7112916735874988,1.5613722236652803,0.19862860694162368
glm-5.1,en,E025,1.7153130222784143,1.7599601191933716,1.1124696409654142,1.6272710495648484,0.6172734658089348
glm-5.1,en,F063,1.7153130222784143,1.7599601191933716,1.6932798425566822,1.723348559474525,0.04273016865982178
glm-5.1,en,F118,1.7153130222784143,1.7599601191933716,0.7440604642798736,1.354336212456195,1.0525503717805806
glm-5.1,en,F120,1.7153130222784143,1.7599601191933716,1.5235647814370217,1.6114670562528062,0.2425233547665862
glm-5.1,en,G006,1.7153130222784143,1.7599601191933716,1.8678880054727678,1.3043472626236787,0.48048121770611674
glm-5.1,en,Y002,1.7153130222784143,1.7599601191933716,1.9044747153446089,1.759087171301147,0.1891637073058459
glm-5.1,en,Y003,1.7153130222784143,1.7599601191933716,1.488706425404386,1.483158791241873,0.3577282836211604
glm-5.2,en,A008,2.513974734394916,0.7835309805872729,2.4532162906851935,0.8471782627014589,0.0879918462276495
glm-5.2,en,A165,2.513974734394916,0.7835309805872729,2.3888031621517425,0.7951807250134312,0.12571252540229574
